event_id,date,month,source_page,confidence,close,execution_price,buy_units,sell_units,prev_open_long_units,prev_open_short_units,next_open_long_units,next_open_short_units,prev_state,next_state,state_transition,position_id_before,position_id_after,leg_id_after,reversal_flag,lock_state_flag,raw_trade,raw_open_position,note
TACHI_EVT_013,1976-03-29,1976-03,B0290,high_visual,2800,2860,0,2,0,0,0,2,flat,short_only,enter_short,,TACHI_PIONEER_1976_002,1,0,0,? 2,? 2,
TACHI_EVT_014,1976-03-30,1976-03,B0290,high_visual,2750,2800,0,3,0,2,0,5,short_only,short_only,add_short,TACHI_PIONEER_1976_002,TACHI_PIONEER_1976_002,2,0,0,? 3,? 5,
TACHI_EVT_015,1976-03-31,1976-03,B0290,high_visual,2800,2720,0,5,0,5,0,10,short_only,short_only,add_short,TACHI_PIONEER_1976_002,TACHI_PIONEER_1976_002,3,0,0,? 5,? 10,
TACHI_EVT_016,1976-04-05,1976-04,B0291,high_visual,2630,2730,2,0,0,10,2,10,short_only,locked,lock_long_against_short,TACHI_PIONEER_1976_002,TACHI_PIONEER_1976_002,4,0,1,2 ?,2 ? 10,Locked long/short coexist.
TACHI_EVT_017,1976-04-06,1976-04,B0291,high_visual,2670,2680,0,2,2,10,2,12,locked,locked,add_short_locked,TACHI_PIONEER_1976_002,TACHI_PIONEER_1976_002,5,0,1,? 2,2 ? 12,Locked long/short coexist.
TACHI_EVT_018,1976-04-10,1976-04,B0291,high_visual,2700,2600,0,3,2,12,2,15,locked,locked,add_short_locked,TACHI_PIONEER_1976_002,TACHI_PIONEER_1976_002,6,0,1,? 3,2 ? 15,Locked long/short coexist.
TACHI_EVT_019,1976-04-13,1976-04,B0291,high_visual,2590,2610,0,5,2,15,2,20,locked,locked,add_short_locked,TACHI_PIONEER_1976_002,TACHI_PIONEER_1976_002,7,0,1,? 5,2 ? 20,Locked long/short coexist.
TACHI_EVT_020,1976-04-23,1976-04,B0291,high_visual,3030,2990,10,0,2,20,2,10,locked,locked,reduce_short_locked,TACHI_PIONEER_1976_002,TACHI_PIONEER_1976_002,8,0,1,10 ?,2 ? 10,Buy reduces net short while long remains.
TACHI_EVT_021,1976-04-26,1976-04,B0291,high_visual,3180,3030,2,0,2,10,4,10,locked,locked,add_long_locked,TACHI_PIONEER_1976_002,TACHI_PIONEER_1976_002,9,0,1,2 ?,4 ? 10,Locked long/short coexist.
TACHI_EVT_022,1976-04-27,1976-04,B0291,high_visual,3150,3150,5,0,4,10,4,5,locked,locked,reduce_short_locked,TACHI_PIONEER_1976_002,TACHI_PIONEER_1976_002,10,0,1,5 ?,4 ? 5,Locked long/short coexist.
TACHI_EVT_023,1976-05-04,1976-05,B0292,medium_visual,3210,3180,1,0,4,5,5,5,locked,locked,add_long_locked,TACHI_PIONEER_1976_002,TACHI_PIONEER_1976_002,11,0,1,1 ?,5 ? 5,Close/open read from photo; row alignment slightly fuzzy.
TACHI_EVT_024,1976-05-06,1976-05,B0292,medium_visual,3180,3180,5,0,5,5,10,5,locked,locked,add_long_locked,TACHI_PIONEER_1976_002,TACHI_PIONEER_1976_002,12,0,1,5 ?,10 ? 5,Close value inferred from OCR + image.
TACHI_EVT_025,1976-05-10,1976-05,B0292,high_visual,3240,3260,5,0,10,5,10,0,locked,long_only,unlock_short,TACHI_PIONEER_1976_002,TACHI_PIONEER_1976_002,13,0,0,5 ?,10 ?,Short side flattened.
TACHI_EVT_026,1976-05-21,1976-05,B0292,high_visual,3090,3130,0,10,10,0,0,0,long_only,flat,exit_long_to_flat,TACHI_PIONEER_1976_002,,,0,0,? 10,0,Full exit.
TACHI_EVT_027,1976-06-15,1976-06,B0296,high_visual,3330,3250,2,0,0,0,2,0,flat,long_only,enter_long,,TACHI_PIONEER_1976_003,1,0,0,2 ?,2 ?,
TACHI_EVT_028,1976-06-16,1976-06,B0296,high_visual,3330,3380,3,0,2,0,5,0,long_only,long_only,add_long,TACHI_PIONEER_1976_003,TACHI_PIONEER_1976_003,2,0,0,3 ?,5 ?,
TACHI_EVT_029,1976-06-21,1976-06,B0296,high_visual,3180,3180,2,0,5,0,7,0,long_only,long_only,add_long,TACHI_PIONEER_1976_003,TACHI_PIONEER_1976_003,3,0,0,2 ?,7 ?,
TACHI_EVT_030,1976-06-30,1976-06,B0296,high_visual,3110,3120,3,0,7,0,10,0,long_only,long_only,add_long,TACHI_PIONEER_1976_003,TACHI_PIONEER_1976_003,4,0,0,3 ?,10 ?,
TACHI_EVT_031,1976-07-02,1976-07,B0297,high_visual,3030,3010,0,10,10,0,0,0,long_only,flat,exit_long_to_flat,TACHI_PIONEER_1976_003,,,0,0,? 10,0,Full exit.
TACHI_EVT_032,1976-07-13,1976-07,B0297,high_visual,2970,2990,2,0,0,0,2,0,flat,long_only,enter_long,,TACHI_PIONEER_1976_004,1,0,0,2 ?,2 ?,
TACHI_EVT_033,1976-07-20,1976-07,B0297,high_visual,3100,3080,3,0,2,0,5,0,long_only,long_only,add_long,TACHI_PIONEER_1976_004,TACHI_PIONEER_1976_004,2,0,0,3 ?,5 ?,
TACHI_EVT_034,1976-07-21,1976-07,B0297,high_visual,3170,3100,5,0,5,0,10,0,long_only,long_only,add_long,TACHI_PIONEER_1976_004,TACHI_PIONEER_1976_004,3,0,0,5 ?,10 ?,
TACHI_EVT_035,1976-07-22,1976-07,B0297,high_visual,3250,3200,2,0,10,0,12,0,long_only,long_only,add_long,TACHI_PIONEER_1976_004,TACHI_PIONEER_1976_004,4,0,0,2 ?,12 ?,
TACHI_EVT_036,1976-07-23,1976-07,B0297,high_visual,3260,3240,3,0,12,0,15,0,long_only,long_only,add_long,TACHI_PIONEER_1976_004,TACHI_PIONEER_1976_004,5,0,0,3 ?,15 ?,
TACHI_EVT_037,1976-07-30,1976-07,B0297,high_visual,3120,3130,0,5,15,0,10,0,long_only,long_only,reduce_long,TACHI_PIONEER_1976_004,TACHI_PIONEER_1976_004,6,0,0,? 5,10 ?,Partial exit.
TACHI_EVT_038,1976-08-11,1976-08,B0298,high_visual,3340,3300,0,10,10,0,0,0,long_only,flat,exit_long_to_flat,TACHI_PIONEER_1976_004,,,0,0,? 10,0,Full exit.
TACHI_EVT_039,1976-08-16,1976-08,B0298,high_visual,3570,3450,0,2,0,0,0,2,flat,short_only,enter_short,,TACHI_PIONEER_1976_005,1,0,0,? 2,? 2,
TACHI_EVT_040,1976-08-19,1976-08,B0298,high_visual,3510,3430,0,3,0,2,0,5,short_only,short_only,add_short,TACHI_PIONEER_1976_005,TACHI_PIONEER_1976_005,2,0,0,? 3,? 5,
TACHI_EVT_041,1976-08-24,1976-08,B0298,high_visual,3330,3300,5,0,0,5,0,0,short_only,flat,cover_short_to_flat,TACHI_PIONEER_1976_005,,,0,0,5 ?,0,Buy-back to flat.
TACHI_EVT_042,1976-09-04,1976-09,B0299,high_visual,3370,3450,2,0,0,0,2,0,flat,long_only,enter_long,,TACHI_PIONEER_1976_006,1,0,0,2 ?,2 ?,
TACHI_EVT_043,1976-09-13,1976-09,B0299,high_visual,3180,3250,0,2,2,0,0,0,long_only,flat,exit_long_to_flat,TACHI_PIONEER_1976_006,,,0,0,? 2,0,Flat after sale.
TACHI_EVT_044,1976-10-08,1976-10,B0300,high_visual,2270,2250,0,10,0,0,0,10,flat,short_only,enter_short,,TACHI_PIONEER_1976_007,1,0,0,? 10,? 10,
TACHI_EVT_045,1976-10-13,1976-10,B0300,high_visual,2090,2050,0,2,0,10,0,12,short_only,short_only,add_short,TACHI_PIONEER_1976_007,TACHI_PIONEER_1976_007,2,0,0,? 2,? 12,
TACHI_EVT_046,1976-10-14,1976-10,B0300,high_visual,2110,2120,0,2,0,12,0,14,short_only,short_only,add_short,TACHI_PIONEER_1976_007,TACHI_PIONEER_1976_007,3,0,0,? 2,? 14,
